movieId,title,genres_list,rating
1104,"Streetcar Named Desire, A (1951)",Drama,4.475
318,"Shawshank Redemption, The (1994)",Drama,4.429022082018927
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama,4.333333333333333
898,"Philadelphia Story, The (1940)",Drama,4.310344827586207
475,In the Name of the Father (1993),Drama,4.3
1204,Lawrence of Arabia (1962),Drama,4.3
858,"Godfather, The (1972)",Drama,4.2890625
1235,Harold and Maude (1971),Drama,4.288461538461538
2959,Fight Club (1999),Drama,4.272935779816514
1276,Cool Hand Luke (1967),Drama,4.271929824561403
